,pm_conc,co_conc,o3_conc,aqi
2012-03-01,0.57835174,0.046342764,25.6353,25.635299682617188
2012-04-01,0.58996785,0.04784014,25.831928,25.831928253173828
2012-05-01,0.4095934,0.048632365,26.459394,26.459394454956055
2012-06-01,0.46418092,0.05076399,26.859522,26.859521865844727
2012-07-01,0.27022195,0.054075394,26.985565,26.985565185546875
2012-08-01,0.3675742,0.055617943,27.034922,27.034921646118164
2012-09-01,0.48293486,0.06266919,27.633787,27.633787155151367
2012-10-01,0.5243707,0.06394751,27.318897,27.318897247314453
2012-11-01,0.87251276,0.062605165,27.748701,27.748701095581055
2012-12-01,0.79305154,0.05282778,26.865202,26.865201950073242
2013-01-01,1.4191176,0.05045357,26.300985,26.30098533630371
2013-02-01,1.0227107,0.04774567,25.686426,25.686426162719727
2013-03-01,0.84450465,0.046588767,25.353489,25.35348892211914
2013-04-01,0.59570885,0.04703054,25.374365,25.374364852905273
2013-05-01,0.35483012,0.0488607,25.47183,25.471830368041992
2013-06-01,0.2938445,0.05228235,25.702967,25.702966690063477
2013-07-01,0.25372973,0.05278777,25.773703,25.77370262145996
2013-08-01,0.44998112,0.05422005,26.817392,26.817392349243164
2013-09-01,0.84105164,0.05614688,27.237986,27.237985610961914
2013-10-01,0.7344726,0.059140746,27.533411,27.533411026000977
2013-11-01,0.88981074,0.053939,26.641699,26.641698837280273
2013-12-01,0.7818108,0.050357655,26.326725,26.326725006103516
2014-01-01,0.86742103,0.045521423,25.526815,25.52681541442871
2014-02-01,0.814999,0.045084327,25.610682,25.610681533813477
2014-03-01,0.9334487,0.047033936,25.249426,25.249425888061523
2014-04-01,0.5400285,0.045668505,25.593243,25.593242645263672
2014-05-01,0.5214593,0.04786379,26.347183,26.347183227539062
2014-06-01,0.4564465,0.049757797,26.917292,26.91729164123535
2014-07-01,0.12243824,0.052185535,27.393408,27.393407821655273
2014-08-01,0.31910753,0.05487924,27.699314,27.69931411743164
2014-09-01,0.38632765,0.056228053,28.837896,28.8378963470459
2014-10-01,0.5339048,0.057256218,28.058813,28.058813095092773
2014-11-01,0.84209645,0.056067135,27.669691,27.66969108581543
2014-12-01,0.903798,0.04964465,27.331839,27.331838607788086
2015-01-01,0.78496647,0.046398066,26.400806,26.400806427001953
2015-02-01,0.71426094,0.045344368,25.882841,25.882841110229492
2015-03-01,0.7973371,0.047755007,26.045385,26.045385360717773
2015-04-01,0.68030137,0.047366112,25.570292,25.57029151916504
2015-05-01,0.57043797,0.04833887,25.423393,25.42339324951172
2015-06-01,0.69853914,0.051312946,24.583464,24.583463668823242
2015-07-01,0.4640831,0.052321766,25.04634,25.046340942382812
2015-08-01,0.47877753,0.056206312,26.095816,26.095815658569336
2015-09-01,0.7003117,0.05811765,27.123022,27.123022079467773
2015-10-01,0.7392515,0.057872187,27.628576,27.628576278686523
2015-11-01,1.0148828,0.05660015,27.46728,27.4672794342041
2015-12-01,1.2457737,0.052164566,26.890745,26.890745162963867
2016-01-01,1.5393316,0.046618737,26.132002,26.132001876831055
2016-02-01,0.7884987,0.046273135,25.702961,25.702960968017578
2016-03-01,0.939699,0.04674795,24.828917,24.828916549682617
2016-04-01,0.5834372,0.045398075,25.289621,25.289621353149414
2016-05-01,0.7153508,0.048477124,24.15941,24.15941047668457
2016-06-01,0.5678374,0.05094018,25.2078,25.207799911499023
2016-07-01,0.622627,0.051815614,24.616156,24.61615562438965
2016-08-01,0.4187331,0.05414154,25.654364,25.65436363220215
2016-09-01,0.42157525,0.059708204,26.74763,26.747629165649414
2016-10-01,0.6553742,0.0573673,26.879164,26.87916374206543
2016-11-01,1.1443716,0.0532387,27.188948,27.188947677612305
2016-12-01,1.2513273,0.04849531,25.961805,25.96180534362793
2017-01-01,0.7407942,0.052671175,25.74328,25.7432804107666
2017-02-01,0.6250284,0.04795911,25.56195,25.56195068359375
2017-03-01,0.5384776,0.04668372,25.833027,25.833026885986328
2017-04-01,1.1651653,0.046603788,25.71652,25.716520309448242
2017-05-01,0.6127256,0.048121016,26.704731,26.704730987548828
2017-06-01,0.37750995,0.05065181,27.075867,27.07586669921875
2017-07-01,0.31107914,0.052817754,26.2415,26.241500854492188
2017-08-01,0.30864486,0.05535526,26.99413,26.994129180908203
2017-09-01,0.46289372,0.058404,27.456192,27.456192016601562
2017-10-01,0.7323415,0.06286425,28.378012,28.37801170349121
2017-11-01,0.586285,0.058734715,27.86926,27.869260787963867
2017-12-01,1.0123745,0.053214572,27.231169,27.231168746948242
2018-01-01,1.2764652,0.047476824,26.449896,26.44989585876465
2018-02-01,1.041747,0.04818747,25.283512,25.283512115478516
2018-03-01,0.88911575,0.04546156,25.641668,25.64166831970215
2018-04-01,0.822261,0.04709767,26.00036,26.0003604888916
2018-05-01,0.82399225,0.048096646,26.17666,26.176660537719727
2018-06-01,0.4423133,0.05040575,27.288956,27.288955688476562
2018-07-01,0.6484556,0.05116564,27.146973,27.14697265625
2018-08-01,0.42273465,0.05490069,27.8901,27.890100479125977
2018-09-01,0.56424636,0.059248116,27.6908,27.690799713134766
2018-10-01,0.62410444,0.059063863,27.561232,27.56123161315918
2018-11-01,1.1429532,0.056037657,27.316833,27.31683349609375
2018-12-01,1.2974066,0.049941175,26.62803,26.62803077697754
2019-01-01,1.2724087,0.04624795,25.870672,25.87067222595215
2019-02-01,1.4309436,0.050858982,25.731146,25.73114585876465
2019-03-01,0.90419114,0.047535397,25.403706,25.403705596923828
2019-04-01,0.6393088,0.04735634,25.33067,25.330669403076172
2019-05-01,0.72581214,0.04828733,25.325462,25.325462341308594
2019-06-01,0.44090217,0.050152376,25.870832,25.870832443237305
2019-07-01,0.3630206,0.0518407,26.383198,26.383197784423828
2019-08-01,0.40116957,0.055065963,26.656881,26.65688133239746
2019-09-01,0.5317447,0.05831486,28.458725,28.458724975585938
2019-10-01,0.6357141,0.060750533,27.86437,27.864370346069336
2019-11-01,0.9370384,0.059185993,27.43128,27.4312801361084
2019-12-01,1.1371756,0.05382658,26.792242,26.7922420501709
2020-01-01,0.7835346,0.054383285,26.471344,26.471343994140625
2020-02-01,1.2687793,0.049111277,26.054346,26.054346084594727
2020-03-01,1.118164,0.049015716,25.780561,25.780561447143555
2020-04-01,1.0098771,0.04761905,25.448751,25.44875144958496
2020-05-01,0.5702042,0.049163923,25.58174,25.58173942565918
2020-06-01,0.6659309,0.050691597,26.333134,26.333133697509766
2020-07-01,0.42619658,0.052096743,26.42478,26.424779891967773
2020-08-01,0.2948515,0.05503897,26.637531,26.637531280517578
2020-09-01,0.45013344,0.060843404,27.607553,27.607553482055664
2020-10-01,0.48470777,0.062611796,27.401289,27.401288986206055
2020-11-01,0.62994146,0.05851784,27.446272,27.446271896362305
2020-12-01,1.0479566,0.050693445,26.452475,26.45247459411621
2021-01-01,1.0467017,0.046359383,25.847528,25.8475284576416
2021-02-01,1.1417227,0.046067946,25.751362,25.751361846923828
2021-03-01,0.9733431,0.046432335,25.957169,25.957168579101562
2021-04-01,0.94409513,0.046092458,25.804321,25.8043212890625
2021-05-01,0.7588346,0.048533604,26.578451,26.57845115661621
2021-06-01,0.51956546,0.049839735,27.26689,27.266889572143555
2021-07-01,0.44137272,0.052086093,27.265574,27.265573501586914
2021-08-01,0.4617362,0.054493465,27.9969,27.99690055847168
2021-09-01,0.46545187,0.060461875,28.858109,28.858108520507812
2021-10-01,0.6750285,0.062073775,28.55615,28.556150436401367
2021-11-01,0.8718952,0.05618714,28.467594,28.467594146728516
2021-12-01,1.3793706,0.050285574,27.682331,27.682331085205078
2022-01-01,1.3645986,0.044964675,26.649332,26.64933204650879
2022-02-01,1.467167,0.045487843,26.53118,26.531179428100586
2022-03-01,1.3790764,0.046040058,26.056187,26.05618667602539
2022-04-01,1.519484,0.047106158,25.530193,25.530193328857422
2022-05-01,1.7668138,0.04980257,25.67219,25.672189712524414
2022-06-01,1.9963869,0.050404117,25.849081,25.84908103942871
2022-07-01,1.2415913,0.052353255,25.79657,25.79656982421875
2022-08-01,0.7876453,0.054828424,26.459684,26.459684371948242
2022-09-01,0.75175315,0.057959497,26.825323,26.8253231048584
2022-10-01,1.1479838,0.062473204,27.745829,27.74582862854004
2022-11-01,1.3176956,0.05625896,27.282948,27.282947540283203
2022-12-01,1.7657746,0.049788386,27.172895,27.172895431518555
2023-01-01,1.1640242,0.04619824,26.530502,26.530502319335938
2023-02-01,0.9496592,0.057492763,26.014612,26.014612197875977
2023-03-01,0.95308614,0.048317526,25.8541,25.85409927368164
2023-04-01,1.0561022,0.047272038,25.643763,25.643762588500977
2023-05-01,0.7087743,0.047681484,26.04592,26.04591941833496
2023-06-01,0.50976914,0.050168015,26.145872,26.145872116088867
2023-07-01,0.557148,0.052759174,26.6099,26.609899520874023
2023-08-01,0.501248,0.054878928,27.092701,27.092700958251953
2023-09-01,0.41952482,0.058896273,28.96311,28.963109970092773
2023-10-01,0.51293236,0.0630987,28.883856,28.88385581970215
2023-11-01,0.54297984,0.059093326,28.340376,28.340375900268555
2023-12-01,0.86531985,0.05306454,27.171469,27.17146873474121
